UID,Titulo,Descripción,Etiqueta de las Filas,Número de Filas,Número de Columnas,alcance_geografico,es_viable,ds_encabezados_utiles,Información de la Entidad: Nombre de la Entidad,Información de la Entidad: Sector,Información de la Entidad: Orden,Información de la Entidad: Departamento,Información de la Entidad: Municipio,Categoría,Etiqueta,Fecha de última actualización de datos (UTC),API,url,ds_reto_principal,ds_retos_secundarios,ds_potencial_integracion,ds_score_relevancia,ds_calidad_datos,ds_justificacion,ds_reto_sugerido,ds_justificacion_sugerida
tukb-gxtd,Visualización sin título - Basado en Producción Frutales Valle del Cauca 2016,"Producción de Frutas en el Departamento, Aguacate, Banano, Bananito, Borojó, Cítricos, Curuba, Chontaduro, Coco, Granadilla, Guanabana, Guayaba, Lulo, Mango, Maracuyá, Melón A, Melón B, Mora, Papaya, Piña, Pitaya, Tomate Arbol, descrita en toneladas",,,,regional,True,True,Gobernación del Valle del Cauca,Función Pública,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,,2024 Jul 09 02:31:44 PM,https://www.datos.gov.co/resource/tukb-gxtd.json,https://www.datos.gov.co/d/tukb-gxtd,R04_Agricultura,,,5,1,[Objetivo] Monitoreo de producción agrícola. | [Insumos] Producción de frutas en el Valle del Cauca. | [Impacto] Mejor planificación productiva. | [Metodo] Razonamiento,,
cx74-fc8p,Burbuja frutas,"Producción de Frutas en el Departamento, Aguacate, Banano, Bananito, Borojó, Cítricos, Curuba, Chontaduro, Coco, Granadilla, Guanabana, Guayaba, Lulo, Mango, Maracuyá, Melón A, Melón B, Mora, Papaya, Piña, Pitaya, Tomate Arbol, descrita en toneladas",,,0.0,regional,True,False,Gobernación del Valle del Cauca,Función Pública,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,"valle,produccion,frutas,granadilla,coco,chontaduro,curuba,melón a,melón b,mora,papaya,piña,pitaya,tomate arbol,maracuyá,mango,lulo,guayaba,aguacate,banano,bananito,borojó,cítricos,guanabana",2024 Jul 09 02:31:44 PM,https://www.datos.gov.co/resource/cx74-fc8p.json,https://www.datos.gov.co/d/cx74-fc8p,R04_Agricultura,,,5,1,[Objetivo] Monitoreo de producción agrícola. | [Insumos] Producción de frutas en Valle. | [Impacto] Mejor planificación productiva. | [Metodo] Razonamiento,,
bzi3-umwp,nagarzon7,"Producción de Frutas en el Departamento, Aguacate, Banano, Bananito, Borojó, Cítricos, Curuba, Chontaduro, Coco, Granadilla, Guanabana, Guayaba, Lulo, Mango, Maracuyá, Melón A, Melón B, Mora, Papaya, Piña, Pitaya, Tomate Arbol, descrita en toneladas",,,0.0,regional,True,False,Gobernación del Valle del Cauca,Función Pública,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,"coco,tomate arbol,pitaya,piña,papaya,mora,melón b,melón a,maracuyá,mango,lulo,guayaba,guanabana,granadilla,chontaduro,cítricos,banano,bananito,borojó,curuba,frutas,produccion,valle,aguacate",2024 Jul 09 02:31:44 PM,https://www.datos.gov.co/resource/bzi3-umwp.json,https://www.datos.gov.co/d/bzi3-umwp,R04_Agricultura,,,5,1,[Objetivo] Monitoreo de producción agrícola. | [Insumos] Producción de frutas en Valle. | [Impacto] Mejor planificación productiva. | [Metodo] Razonamiento,,
3i86-5n44,Frutas a cargo,"Producción de Frutas en el Departamento, Aguacate, Banano, Bananito, Borojó, Cítricos, Curuba, Chontaduro, Coco, Granadilla, Guanabana, Guayaba, Lulo, Mango, Maracuyá, Melón A, Melón B, Mora, Papaya, Piña, Pitaya, Tomate Arbol, descrita en toneladas",,,0.0,regional,True,False,Gobernación del Valle del Cauca,Función Pública,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,"maracuyá,cítricos,pitaya,bananito,borojó,curuba,granadilla,guanabana,guayaba,lulo,coco,piña,tomate arbol,mora,mango,papaya,chontaduro,melón a,melón b,banano,aguacate,valle,produccion,frutas",2024 Jul 09 02:31:44 PM,https://www.datos.gov.co/resource/3i86-5n44.json,https://www.datos.gov.co/d/3i86-5n44,R04_Agricultura,,,5,1,[Objetivo] Prediccion de rendimiento agricola y riesgo climatico | [Insumos] produccion de frutas por municipio | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,,
wy6p-ytkm,produccion de frutas,"Producción de Frutas en el Departamento, Aguacate, Banano, Bananito, Borojó, Cítricos, Curuba, Chontaduro, Coco, Granadilla, Guanabana, Guayaba, Lulo, Mango, Maracuyá, Melón A, Melón B, Mora, Papaya, Piña, Pitaya, Tomate Arbol, descrita en toneladas",,,0.0,regional,True,False,Gobernación del Valle del Cauca,Función Pública,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,"granadilla,guanabana,guayaba,aguacate,banano,lulo,borojó,chontaduro,coco,mango,maracuyá,melón a,melón b,mora,papaya,piña,pitaya,tomate arbol,curuba,cítricos,bananito,valle,produccion,frutas",2024 Jul 09 02:31:44 PM,https://www.datos.gov.co/resource/wy6p-ytkm.json,https://www.datos.gov.co/d/wy6p-ytkm,R04_Agricultura,,,5,1,[Objetivo] Prediccion de rendimiento agricola y riesgo climatico | [Insumos] produccion de frutas por municipio | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,,
mq4s-x8jy,Visualización sin título - Basado en Producción Frutales Valle del Cauca 2016,"Producción de Frutas en el Departamento, Aguacate, Banano, Bananito, Borojó, Cítricos, Curuba, Chontaduro, Coco, Granadilla, Guanabana, Guayaba, Lulo, Mango, Maracuyá, Melón A, Melón B, Mora, Papaya, Piña, Pitaya, Tomate Arbol, descrita en toneladas",,,,regional,True,True,Gobernación del Valle del Cauca,Función Pública,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,,2024 Jul 09 02:31:44 PM,https://www.datos.gov.co/resource/mq4s-x8jy.json,https://www.datos.gov.co/d/mq4s-x8jy,R04_Agricultura,,,5,1,[Objetivo] Prediccion de rendimiento agricola y riesgo climatico | [Insumos] produccion de frutas por municipio | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,,
rh5a-kkuz,"Cultivos permanentes y temporales de Norte de Santander — Superficies, producción y rendimiento (registro por municipio, año)","Este conjunto de datos contiene el inventario de cultivos permanentes y temporales reportados en el departamento de Norte de Santander. Cada registro corresponde a una combinación (año × municipio × cultivo) e incluye información sobre área sembrada (anterior y actual), áreas perdidas o erradicadas, área total sembrada, área en desarrollo, área cosechada (referencia y actual), producción estimada y rendimiento.
Los datos permiten realizar análisis de superficies agrícolas, estimación de producción, seguimiento de pérdidas y planificación de políticas agropecuarias a nivel municipal y departamental. Se recomienda su uso para estudios agropecuarios, proyectos de seguridad alimentaria, diseño de programas de asistencia técnica y toma de decisiones en gestión territorial.","cultivos, Norte de Santander",940,15.0,regional,True,True,"Gobernación De Norte De Santander, Norte De Santander",,Territorial,Norte De Santander,Cúcuta,Agricultura y Desarrollo Rural,"cultivos permanentes,cultivos transitorios,cultivos",2025 Dec 09 10:13:50 PM,https://www.datos.gov.co/resource/rh5a-kkuz.json,https://www.datos.gov.co/d/rh5a-kkuz,R04_Agricultura,,,5,4,"[Objetivo] Inventario de cultivos permanentes y temporales. | [Insumos] Superficies, producción y rendimiento por municipio y año. | [Impacto] Estimación de producción y planificación agrícola. | [Metodo] Razonamiento",,
wfum-ts22,Vista exportaciones agrícolas no tradicionales y tradicionales - Risaralda,"Esta vista presenta la información sobre las exportaciones agrícolas del departamento de Risaralda, diferenciando entre productos tradicionales y no tradicionales.",Exportaciones agrícolas tradicionales,3.147,13.0,regional,True,True,Gobernación de Risaralda,,Territorial,Risaralda,Pereira,Agricultura y Desarrollo Rural,"exportaciones no tradicionales,exportaciones,productos agricolas",2021 Dec 17 04:03:33 PM,https://www.datos.gov.co/resource/wfum-ts22.json,https://www.datos.gov.co/d/wfum-ts22,R04_Agricultura,R05_Economia,,5,2,[Objetivo] Predicción de rendimiento agrícola y riesgo climático | [Insumos] exportaciones agrícolas (producción y mercado) | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,,
jcb4-yzkm,Asociaciones y Entidades de productores agropecuarios de Risaralda,"Este conjunto de datos contiene información de las asociaciones, cooperativas, gremios, bancos y otras entidades relacionadas con la producción agropecuaria en el departamento de Risaralda.",Entidad,171,5.0,regional,True,True,"Gobernación De Risaralda, Risaralda",Agricultura y Desarrollo Social,Territorial,Risaralda,Pereira,Agricultura y Desarrollo Rural,"departamento de risaralda,productores,asociaciones",2025 Sep 26 06:26:06 PM,https://www.datos.gov.co/resource/jcb4-yzkm.json,https://www.datos.gov.co/d/jcb4-yzkm,R04_Agricultura,,,5,3,[Objetivo] Mapeo de asociaciones de productores agropecuarios. | [Insumos] Entidades relacionadas con la producción agropecuaria. | [Impacto] Fortalecimiento de la asociatividad y el desarrollo rural. | [Metodo] Razonamiento,,
w7af-a4xc,ASOCIACIONES CAMPESINAS DE SANTANDER,"ASOCIACIONES CAMPESINAS DE SANTANDER, QUE OFRECEN SUS PRODUCTOS AGRARIOS PARA LA COMERCIALIZACIÓN",agricultura santander,450,8.0,regional,True,True,Gobernación de Santander,Agricultura y Desarrollo Social,Territorial,Santander,Bucaramanga,Agricultura y Desarrollo Rural,asociaciones campesinas,2025 Jun 12 12:43:23 PM,https://www.datos.gov.co/resource/w7af-a4xc.json,https://www.datos.gov.co/d/w7af-a4xc,R04_Agricultura,,,5,4,[Objetivo] Identificar asociaciones campesinas para fortalecer cadenas productivas | [Insumos] listado de asociaciones campesinas con productos | [Impacto] Mejora de comercialización y resiliencia rural | [Metodo] Razonamiento,,
riej-vfv4,Matriz cuantitativa de cultivos permanentes de Sucre 2018,Matriz cuantitativa de cultivos permanentes de Sucre 2018,"MUNICIPIOS,	PRODUCTO,	ÁREA, SEMBRADA (ha), ÁREA COSECHADA (ha), RENDIMIENTO (t/ha), PRODUCCIÓN (t), PRECIO PAGADO AL PRODUCTOR ($/kg), EXPLOTACIONES AGRÍCOLAS",95,8.0,regional,True,True,Gobernación de Sucre,Agricultura y Desarrollo Social,Territorial,Sucre,Sincelejo,Agricultura y Desarrollo Rural,"matriz,cultivos,permanentes",2020 Dec 10 08:05:20 PM,https://www.datos.gov.co/resource/riej-vfv4.json,https://www.datos.gov.co/d/riej-vfv4,R04_Agricultura,,,5,4,[Objetivo] Anticipar rendimientos de cultivos permanentes | [Insumos] matriz cuantitativa de cultivos permanentes | [Impacto] Mayor productividad y resiliencia agrícola | [Metodo] Razonamiento,,
7kkk-g8d6,Cultivos semestrales Departamento de Sucre 2018,Informe Coyuntura EVA 2018 Dpto. de Sucre - Cultivos semestrales,"MUNICIPIOS,	PRODUCTO,	SEMESTRE DEL CULTIVO,	AREA SEMBRADA (ha), AREA COSECHADA (ha), RENDIMIENTO (t/ha), PRODUCCIÓN (t) 	PRECIO PAGADO AL PRODUCTOR ($/kg), EXPLOTACIONES AGRÍCOLAS",208,9.0,regional,True,True,Gobernación de Sucre,Agricultura y Desarrollo Social,Territorial,Sucre,Sincelejo,Agricultura y Desarrollo Rural,"cultivos,sucre,semestrales,hectareas",2021 Mar 16 02:41:45 PM,https://www.datos.gov.co/resource/7kkk-g8d6.json,https://www.datos.gov.co/d/7kkk-g8d6,R04_Agricultura,,,5,4,[Objetivo] Predicción de rendimiento agrícola | [Insumos] Cultivos semestrales con variables de producción | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,,
senc-7n9r,Sacrificio De Ganado Bovino,Conjunto de datos que brinda información sobre producción y sacrificio de ganado en el valle del cauca,,171,9.0,regional,True,True,Gobernación de Valle del Cauca,Función Pública,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,"sacrificio,producción,carne,ganado",2021 Sep 21 05:52:40 PM,https://www.datos.gov.co/resource/senc-7n9r.json,https://www.datos.gov.co/d/senc-7n9r,R04_Agricultura,,R05_Economia,5,3,"[Objetivo] Anticipar rendimientos agrícolas y riesgos climáticos | [Insumos] producción ganadera, sacrificio de ganado | [Impacto] Mayor productividad y resiliencia económica rural | [Metodo] Razonamiento",,
xb5v-aufn,Rendimiento del área cosechada de los cultivos transitorios en el Valle del Cauca,"Este conjunto de datos muestra el rendimiento de la producción de los cultivos transitorios en el Valle del Cauca, calculado como la relación entre la producción del cultivo y el área cosechada.",,16.748,8.0,regional,True,True,Gobernación de Valle del Cauca,No Aplica,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,,2024 Jul 09 09:30:08 PM,https://www.datos.gov.co/resource/xb5v-aufn.json,https://www.datos.gov.co/d/xb5v-aufn,R04_Agricultura,,,5,3,[Objetivo] Anticipar rendimientos agrícolas | [Insumos] rendimiento de cultivos transitorios | [Impacto] Mayor productividad rural | [Metodo] Razonamiento,,
8xap-gecf,Producción de frutales en el Valle del Cauca,Este conjunto de datos proporciona información detallada sobre la producción de diversos tipos de frutales en el Valle del Cauca.,,9.992,8.0,regional,True,True,Gobernación de Valle del Cauca,No Aplica,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,"melón b,aguacate,valle,produccion,frutas,guanabana,curuba,granadilla,cítricos,coco,bananito,melón a,maracuyá,borojó,mango,lulo,guayaba,chontaduro,banano,piña,papaya,mora,tomate arbol,pitaya",2024 Jul 09 02:31:44 PM,https://www.datos.gov.co/resource/8xap-gecf.json,https://www.datos.gov.co/d/8xap-gecf,R04_Agricultura,,,5,3,[Objetivo] Predicción de rendimiento agrícola | [Insumos] producción de frutales | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,,
xcw3-fwbx,Rendimiento del área cosechada de los cultivos permanentes en el Valle del Cauca,"Este conjunto de datos muestra el rendimiento de la producción de los cultivos permanentes en el Valle del Cauca, calculado como la relación entre la producción del cultivo y el área cosechada.",,14.590,8.0,regional,True,True,Gobernación de Valle del Cauca,No Aplica,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,,2024 Jul 09 08:07:26 PM,https://www.datos.gov.co/resource/xcw3-fwbx.json,https://www.datos.gov.co/d/xcw3-fwbx,R04_Agricultura,,,5,3,[Objetivo] Anticipar rendimientos agrícolas | [Insumos] rendimiento de cultivos permanentes | [Impacto] Mayor productividad rural | [Metodo] Razonamiento,,
vmj9-n8gi,Superficie sembrada de frutales en el Valle del Cauca,Este conjunto de datos contiene información detallada sobre la superficie de terreno dedicada a la siembra de diferentes tipos de frutales en el Valle del Cauca.,,9.992,8.0,regional,True,True,Gobernación de Valle del Cauca,No Aplica,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,,2024 Jul 09 02:23:18 PM,https://www.datos.gov.co/resource/vmj9-n8gi.json,https://www.datos.gov.co/d/vmj9-n8gi,R04_Agricultura,,,5,3,[Objetivo] Anticipar rendimientos agrícolas | [Insumos] superficie sembrada de frutales | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,,
xw3w-hafb,Tipos de explotación y razas predominantes de ganado bovino,Explotación y razas predominantes de ganado bovino por municipio desde el año 2017 en adelante.,,129,11.0,regional,True,True,Gobernación de Valle del Cauca,Agricultura y Desarrollo Social,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,agricultura,2021 Sep 21 05:35:38 PM,https://www.datos.gov.co/resource/xw3w-hafb.json,https://www.datos.gov.co/d/xw3w-hafb,R04_Agricultura,,,5,3,[Objetivo] Anticipar rendimientos agrícolas | [Insumos] tipos de explotación y razas de ganado | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,,
v4ub-9eme,Superficie sembrada de cultivos permanentes en el Valle del Cauca,Este conjunto de datos contiene información detallada sobre la superficie de terreno dedicada a la siembra de diferentes tipos de cultivos permanentes en el Valle del Cauca.,,14.590,8.0,regional,True,True,Gobernación de Valle del Cauca,No Aplica,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,,2024 Jul 09 08:05:07 PM,https://www.datos.gov.co/resource/v4ub-9eme.json,https://www.datos.gov.co/d/v4ub-9eme,R04_Agricultura,,,5,3,[Objetivo] Anticipar rendimientos agrícolas | [Insumos] superficie sembrada de cultivos permanentes | [Impacto] Mayor productividad rural | [Metodo] Razonamiento,,
wsfk-9bhd,Producción De Leche  Valle del Cauca,"Producción de leche por municipio en el Departamento del Valle del Cauca, definida por litros promedio por día, por vaca,  y numero de ordeños",,171,7.0,regional,True,True,Gobernación de Valle del Cauca,Función Pública,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,"agro,agricultura,producción,lechera,lecheria,leche,vacas",2021 Sep 21 06:29:35 PM,https://www.datos.gov.co/resource/wsfk-9bhd.json,https://www.datos.gov.co/d/wsfk-9bhd,R04_Agricultura,,,5,3,[Objetivo] Anticipar rendimientos agrícolas | [Insumos] producción de leche | [Impacto] Mayor productividad y resiliencia rural | [Metodo] Razonamiento,,
bmzu-k4mg,Producción de cultivos permanentes en el Valle del Cauca,Este conjunto de datos proporciona información detallada sobre la producción de diversos tipos de cultivos permanentes en el Valle del Cauca.,,14.590,8.0,regional,True,True,Gobernación de Valle del Cauca,No Aplica,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,,2024 Jul 09 08:06:36 PM,https://www.datos.gov.co/resource/bmzu-k4mg.json,https://www.datos.gov.co/d/bmzu-k4mg,R04_Agricultura,,,5,3,[Objetivo] Anticipar rendimientos agrícolas | [Insumos] producción de cultivos permanentes | [Impacto] Mayor productividad rural | [Metodo] Razonamiento,,
i4zs-39hz,Distribución de la superficie en pastos con utilización ganadera,Distribución en los municipios sobre la superficie en pastos con utilización ganadera desde el año 2017,,132,9.0,regional,True,True,Gobernación de Valle del Cauca,Agricultura y Desarrollo Social,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,agricultura,2021 Sep 21 06:49:05 PM,https://www.datos.gov.co/resource/i4zs-39hz.json,https://www.datos.gov.co/d/i4zs-39hz,R04_Agricultura,,,5,3,[Objetivo] Analizar uso de pastos para ganadería | [Insumos] superficie en pastos con utilización ganadera | [Impacto] Manejo sostenible de la ganadería | [Metodo] Razonamiento,,
dx69-j7r4,Superficie cosechada de cultivos permanentes en el Valle del Cauca,Este conjunto de datos contiene información detallada sobre el área cosechada de diferentes cultivos permanentes en el Valle del Cauca.,,14.590,8.0,regional,True,True,Gobernación de Valle del Cauca,No Aplica,Territorial,Valle del Cauca,Cali,Agricultura y Desarrollo Rural,,2024 Jul 09 08:16:46 PM,https://www.datos.gov.co/resource/dx69-j7r4.json,https://www.datos.gov.co/d/dx69-j7r4,R04_Agricultura,,,5,2,[Objetivo] Anticipar producción de cultivos permanentes | [Insumos] superficie cosechada de cultivos permanentes | [Impacto] Productividad agrícola | [Metodo] Razonamiento,,
